"","Survived","Pclass","Sex","Age"
"1","0","3","male",22
"2","1","1","female",38
"3","1","3","female",26
"4","1","1","female",35
"5","0","3","male",35
"6","0","3","male",27.9736819553011
"7","0","1","male",54
"8","0","3","male",2
"9","1","3","female",27
"10","1","2","female",14
"11","1","3","female",4
"12","1","1","female",58
"13","0","3","male",20
"14","0","3","male",39
"15","0","3","female",14
"16","1","2","female",55
"17","0","3","male",2
"18","1","2","male",18.2471525494291
"19","0","3","female",31
"20","1","3","female",17.6537163361762
"21","0","2","male",35
"22","1","2","male",34
"23","1","3","female",15
"24","1","1","male",28
"25","0","3","female",8
"26","1","3","female",38
"27","0","3","male",13.3507335823316
"28","0","1","male",19
"29","1","3","female",13.947071330242
"30","0","3","male",13.8177280649239
"31","0","1","male",40
"32","1","1","female",36.3191182213009
"33","1","3","female",9.50026174584029
"34","0","2","male",66
"35","0","1","male",28
"36","0","1","male",42
"37","1","3","male",15.3234305151048
"38","0","3","male",21
"39","0","3","female",18
"40","1","3","female",14
"41","0","3","female",40
"42","0","2","female",27
"43","0","3","male",31.6007880814596
"44","1","2","female",3
"45","1","3","female",19
"46","0","3","male",12.0495367673023
"47","0","3","male",24.5740930751438
"48","1","3","female",30.9952117566185
"49","0","3","male",36.5391832827862
"50","0","3","female",18
"51","0","3","male",7
"52","0","3","male",21
"53","1","1","female",49
"54","1","2","female",29
"55","0","1","male",65
"56","1","1","male",29.1095257949466
"57","1","2","female",21
"58","0","3","male",28.5
"59","1","2","female",5
"60","0","3","male",11
"61","0","3","male",22
"62","1","1","female",38
"63","0","1","male",45
"64","0","3","male",4
"65","0","1","male",8.8911403710738
"66","1","3","male",26.7906212030251
"67","1","2","female",29
"68","0","3","male",19
"69","1","3","female",17
"70","0","3","male",26
"71","0","2","male",32
"72","0","3","female",16
"73","0","2","male",21
"74","0","3","male",26
"75","1","3","male",32
"76","0","3","male",25
"77","0","3","male",15.3664513544208
"78","0","3","male",17.1442502187409
"79","1","2","male",0.83
"80","1","3","female",30
"81","0","3","male",22
"82","1","3","male",29
"83","1","3","female",12.1360697037623
"84","0","1","male",28
"85","1","2","female",17
"86","1","3","female",33
"87","0","3","male",16
"88","0","3","male",32.794120993712
"89","1","1","female",23
"90","0","3","male",24
"91","0","3","male",29
"92","0","3","male",20
"93","0","1","male",46
"94","0","3","male",26
"95","0","3","male",59
"96","0","3","male",42.8281912676304
"97","0","1","male",71
"98","1","1","male",23
"99","1","2","female",34
"100","0","2","male",34
"101","0","3","female",28
"102","0","3","male",9.42787181939113
"103","0","1","male",21
"104","0","3","male",33
"105","0","3","male",37
"106","0","3","male",28
"107","1","3","female",21
"108","1","3","male",29.7744731710796
"109","0","3","male",38
"110","1","3","female",-9.22495345276203
"111","0","1","male",47
"112","0","3","female",14.5
"113","0","3","male",22
"114","0","3","female",20
"115","0","3","female",17
"116","0","3","male",21
"117","0","3","male",70.5
"118","0","2","male",29
"119","0","1","male",24
"120","0","3","female",2
"121","0","2","male",21
"122","0","3","male",40.9112588236099
"123","0","2","male",32.5
"124","1","2","female",32.5
"125","0","1","male",54
"126","1","3","male",12
"127","0","3","male",6.58904810273071
"128","1","3","male",24
"129","1","3","female",22.790262121965
"130","0","3","male",45
"131","0","3","male",33
"132","0","3","male",20
"133","0","3","female",47
"134","1","2","female",29
"135","0","2","male",25
"136","0","2","male",23
"137","1","1","female",19
"138","0","1","male",37
"139","0","3","male",16
"140","0","1","male",24
"141","0","3","female",14.8170412704487
"142","1","3","female",22
"143","1","3","female",24
"144","0","3","male",19
"145","0","2","male",18
"146","0","2","male",19
"147","1","3","male",27
