"","Survived","Pclass","Sex","Age"
"1","0","3","male",22
"2","1","1","female",38
"3","1","3","female",26
"4","1","1","female",35
"5","0","3","male",35
"6","0","3","male",25.3909615245035
"7","0","1","male",54
"8","0","3","male",2
"9","1","3","female",27
"10","1","2","female",14
"11","1","3","female",4
"12","1","1","female",58
"13","0","3","male",20
"14","0","3","male",39
"15","0","3","female",14
"16","1","2","female",55
"17","0","3","male",2
"18","1","2","male",31.7728604861377
"19","0","3","female",31
"20","1","3","female",36.5749372354769
"21","0","2","male",35
"22","1","2","male",34
"23","1","3","female",15
"24","1","1","male",28
"25","0","3","female",8
"26","1","3","female",38
"27","0","3","male",5.03494884487511
"28","0","1","male",19
"29","1","3","female",-3.05994662107038
"30","0","3","male",34.5900681557711
"31","0","1","male",40
"32","1","1","female",37.6173435475195
"33","1","3","female",40.7142037641005
"34","0","2","male",66
"35","0","1","male",28
"36","0","1","male",42
"37","1","3","male",30.9459163010465
"38","0","3","male",21
"39","0","3","female",18
"40","1","3","female",14
"41","0","3","female",40
"42","0","2","female",27
"43","0","3","male",42.4605178157599
"44","1","2","female",3
"45","1","3","female",19
"46","0","3","male",35.7657609607811
"47","0","3","male",0.190022253495144
"48","1","3","female",21.1884663667297
"49","0","3","male",37.3229925792088
"50","0","3","female",18
"51","0","3","male",7
"52","0","3","male",21
"53","1","1","female",49
"54","1","2","female",29
"55","0","1","male",65
"56","1","1","male",20.7503073268759
"57","1","2","female",21
"58","0","3","male",28.5
"59","1","2","female",5
"60","0","3","male",11
"61","0","3","male",22
"62","1","1","female",38
"63","0","1","male",45
"64","0","3","male",4
"65","0","1","male",56.8901516375452
"66","1","3","male",19.7377035612407
"67","1","2","female",29
"68","0","3","male",19
"69","1","3","female",17
"70","0","3","male",26
"71","0","2","male",32
"72","0","3","female",16
"73","0","2","male",21
"74","0","3","male",26
"75","1","3","male",32
"76","0","3","male",25
"77","0","3","male",21.9461458114516
"78","0","3","male",7.79694427739738
"79","1","2","male",0.83
"80","1","3","female",30
"81","0","3","male",22
"82","1","3","male",29
"83","1","3","female",25.7409348630442
"84","0","1","male",28
"85","1","2","female",17
"86","1","3","female",33
"87","0","3","male",16
"88","0","3","male",36.6770260122618
"89","1","1","female",23
"90","0","3","male",24
"91","0","3","male",29
"92","0","3","male",20
"93","0","1","male",46
"94","0","3","male",26
"95","0","3","male",59
"96","0","3","male",25.5660015974732
"97","0","1","male",71
"98","1","1","male",23
"99","1","2","female",34
"100","0","2","male",34
"101","0","3","female",28
"102","0","3","male",11.3850835377379
"103","0","1","male",21
"104","0","3","male",33
"105","0","3","male",37
"106","0","3","male",28
"107","1","3","female",21
"108","1","3","male",-4.06721254355516
"109","0","3","male",38
"110","1","3","female",29.5844266918788
"111","0","1","male",47
"112","0","3","female",14.5
"113","0","3","male",22
"114","0","3","female",20
"115","0","3","female",17
"116","0","3","male",21
"117","0","3","male",70.5
"118","0","2","male",29
"119","0","1","male",24
"120","0","3","female",2
"121","0","2","male",21
"122","0","3","male",7.90556889024948
"123","0","2","male",32.5
"124","1","2","female",32.5
"125","0","1","male",54
"126","1","3","male",12
"127","0","3","male",20.1347464655469
"128","1","3","male",24
"129","1","3","female",43.8102605611363
"130","0","3","male",45
"131","0","3","male",33
"132","0","3","male",20
"133","0","3","female",47
"134","1","2","female",29
"135","0","2","male",25
"136","0","2","male",23
"137","1","1","female",19
"138","0","1","male",37
"139","0","3","male",16
"140","0","1","male",24
"141","0","3","female",45.2542555880098
"142","1","3","female",22
"143","1","3","female",24
"144","0","3","male",19
"145","0","2","male",18
"146","0","2","male",19
"147","1","3","male",27
